Object,Maneuver,New Position
FENGYUN 1C DEB,[ 0.00054054 -0.0198958  -0.09799931],"[-0.1245218888310528, -0.11672928991199799, -0.8404160550999967]"
FENGYUN 1C DEB,[-0.01462382 -0.01216632 -0.09817395],"[-0.13914571201661458, -0.12889561258191093, -0.9385900047410751]"
FENGYUN 1C DEB,[-0.03178368 -0.00616962 -0.0946136 ],"[-0.17092938962919813, -0.13506523358940623, -1.0332036063744725]"
FENGYUN 1C DEB,[-0.01445248 -0.0705427  -0.06938914],"[-0.18538187198483613, -0.20560793437533187, -1.1025927490380574]"
FENGYUN 1C DEB,[-0.03492136 -0.00711796 -0.09343358],"[-0.22030323019628456, -0.21272589093686595, -1.1960263267018492]"
FENGYUN 1C DEB,[ 0.00151042 -0.02263525 -0.09739283],"[-0.21879281274898382, -0.23536114420467175, -1.29341915985007]"
FENGYUN 1C DEB,[ 0.02172063 -0.00679134 -0.09737603],"[-0.1970721779682194, -0.24215247986062705, -1.3907951927571913]"
FENGYUN 1C DEB,[ 0.00649331  0.03480343 -0.09352303],"[-0.19057886594124263, -0.20734904555984515, -1.4843182266033592]"
FENGYUN 1C DEB,[-0.06934797 -0.0506123   0.05127625],"[-0.7855454093337277, -0.5248378332813772, 0.3866035995429123]"
FENGYUN 1C DEB,[-0.0856893  -0.05047787  0.01045605],"[-0.8712347046964766, -0.5753157066897188, 0.39705964833808555]"
FENGYUN 1C DEB,[-0.05352432 -0.07656245 -0.03568387],"[-0.9247590200795726, -0.651878158793846, 0.3613757781643767]"
FENGYUN 1C DEB,[-0.06502182 -0.05981186 -0.04684768],"[-0.9897808370349758, -0.7116900152630565, 0.3145280979067096]"
FENGYUN 1C DEB,[-0.08347616 -0.05124093 -0.02015185],"[-1.07325700138975, -0.7629309454529056, 0.2943762479198297]"
FENGYUN 1C DEB,[-0.07337068 -0.04943505 -0.04661458],"[-1.1466276839737346, -0.8123659936743624, 0.24776166925067922]"
FENGYUN 1C DEB,[-0.02303018 -0.08990243  0.03724465],"[-1.1696578649999296, -0.902268421546097, 0.28500632288939964]"
FENGYUN 1C DEB,[-0.05384877 -0.06532556  0.05322481],"[-1.2235066377501418, -0.9675939845380203, 0.3382311337682019]"
FENGYUN 1C DEB,[-0.07529023 -0.0385255   0.05335885],"[-1.2987968715417, -1.0061194827649558, 0.3915899819752135]"
FENGYUN 1C DEB,[-0.04797713 -0.08658232 -0.01420197],"[-1.3467740048440302, -1.0927018066063874, 0.3773880145654534]"
FENGYUN 1C DEB,[-0.04938418 -0.08693368 -0.00193318],"[-1.3961581848844373, -1.1796354914746134, 0.3754548314472224]"
FENGYUN 1C DEB,[-0.08313064 -0.05338081  0.01548499],"[-1.479288829006315, -1.2330163038414208, 0.3909398202732256]"
FENGYUN 1C DEB,[-0.06989161 -0.06125311  0.03692179],"[-1.5491804417157347, -1.2942694181956143, 0.42786160862087474]"
FENGYUN 1C DEB,[ 0.02786207 -0.06718905  0.06862461],"[0.2313539753369281, -0.622762014625629, 0.8629598047075885]"
FENGYUN 1C DEB,[ 0.03034658 -0.09524137 -0.00285759],"[0.261700557917692, -0.7180033873533617, 0.8601022101586755]"
FENGYUN 1C DEB,[-0.05454379 -0.03353409  0.07681432],"[0.20715677255669848, -0.751537477251479, 0.9369165336484965]"
FENGYUN 1C DEB,[ 0.0400822  -0.09161124  0.00089322],"[0.24723897657501478, -0.8431487160910032, 0.9378097521669573]"
FENGYUN 1C DEB,[ 0.02695478 -0.08057276  0.05273965],"[0.27419375389328365, -0.9237214728820455, 0.9905494036903991]"
FENGYUN 1C DEB,[-0.00736977 -0.09749466  0.02098755],"[0.26682398599589774, -1.0212161351614855, 1.0115369559096692]"
FENGYUN 1C DEB,[-0.02402203 -0.09539798  0.01794904],"[0.24280195366603152, -1.1166141116714317, 1.0294859960107619]"
FENGYUN 1C DEB,[-0.0026412  -0.08748337  0.04837028],"[0.24016074913833393, -1.2040974825606061, 1.0778562746590188]"
FENGYUN 1C DEB,[ 0.02351118 -0.07258545  0.06464192],"[0.26367193201932365, -1.276682928962484, 1.142498190241532]"
FENGYUN 1C DEB,[ 0.02161337 -0.09230922  0.03180992],"[0.2852852995917028, -1.3689921463280672, 1.1743081058581244]"
FENGYUN 1C DEB,[ 0.04095012 -0.07636786  0.0499103 ],"[0.3262354160545722, -1.4453600053727014, 1.2242184060637566]"
FENGYUN 1C DEB,[ 0.01888147 -0.08983108  0.039672  ],"[0.3451168896311689, -1.5351910838020364, 1.2638904025322855]"
FENGYUN 1C DEB,[0.06930051 0.06498813 0.0312087 ],"[0.4675602837309543, 0.5073246339697972, 0.13294270189396087]"
FENGYUN 1C DEB,[0.05483144 0.07885479 0.02784664],"[0.5223917262876847, 0.5861794205833001, 0.160789345054078]"
FENGYUN 1C DEB,[ 0.0620303   0.07690597 -0.01541795],"[0.5844220252382764, 0.6630853945365676, 0.14537139504768726]"
FENGYUN 1C DEB,[0.06422703 0.07254869 0.02473006],"[0.6486490550266537, 0.7356340875140541, 0.17010145351549671]"
FENGYUN 1C DEB,[-0.00398836  0.05020714  0.0863906 ],"[0.644660696188311, 0.7858412276004574, 0.2564920553082895]"
FENGYUN 1C DEB,[ 0.09886941 -0.01298641 -0.00749625],"[0.7435301026045565, 0.7728548225732802, 0.24899580562132048]"
FENGYUN 1C DEB,[ 0.06576026  0.07476837 -0.00923465],"[0.8092903609086549, 0.8476231965529395, 0.23976115997483943]"
FENGYUN 1C DEB,[0.05775016 0.06458838 0.04993256],"[0.8670405180179447, 0.9122115728834354, 0.2896937244677893]"
FENGYUN 1C DEB,[ 0.09484861 -0.00027443  0.03168069],"[0.9618891282932569, 0.9119371398080277, 0.3213744096770624]"
FENGYUN 1C DEB,[ 0.08710713  0.03919771 -0.0295954 ],"[1.0489962595984508, 0.9511348461888198, 0.2917790132400334]"
FENGYUN 1C DEB,[ 0.07181807  0.0657757  -0.02270952],"[1.1208143311558374, 1.0169105432891232, 0.2690694938979771]"
FENGYUN 1C DEB,[0.02663313 0.0939806  0.02140847],"[1.1474474586920105, 1.1108911466278317, 0.29047796684058214]"
FENGYUN 1C DEB,[0.07644837 0.05844633 0.02719693],"[1.2238958331527223, 1.1693374747597132, 0.3176748925899241]"
FENGYUN 1C DEB,[ 0.06264279  0.07160733 -0.03079401],"[1.2865386266895666, 1.2409448042888072, 0.2868808870756678]"
FENGYUN 1C DEB,[0.04956194 0.08642281 0.00864361],"[1.33610056848139, 1.327367613290575, 0.2955244980148457]"
FENGYUN 1C DEB,[ 0.06261652  0.07796372 -0.0009106 ],"[1.3987170886198126, 1.4053313369510168, 0.29461389450464043]"
FENGYUN 1C DEB,[-0.09358659 -0.01134174 -0.03336039],"[-0.19160352739512315, -0.0344000203519195, -0.15511895108618182]"
FENGYUN 1C DEB,[-0.03924661  0.00581069 -0.09179291],"[-0.23085014162494463, -0.02858932759442533, -0.2469118654160667]"
FENGYUN 1C DEB,[-0.08013489 -0.00699928 -0.05940884],"[-0.310985029630915, -0.03558861253362367, -0.3063207009088661]"
FENGYUN 1C DEB,[-0.03551962 -0.01230051 -0.09266636],"[-0.3465046531202995, -0.04788912159087106, -0.39898705847246596]"
FENGYUN 1C DEB,[-0.03527807 -0.02185745 -0.09098192],"[-0.3817827269049074, -0.06974656938035424, -0.48996897692980435]"
FENGYUN 1C DEB,[-0.0600424  -0.00928951 -0.07942679],"[-0.44182512211289626, -0.07903608422845242, -0.5693957714740552]"
FENGYUN 1C DEB,[-0.08885248  0.00144778 -0.04586001],"[-0.5306776052112808, -0.07758830604943302, -0.6152557778586561]"
FENGYUN 1C DEB,[-0.06519091 -0.07247218 -0.02231431],"[-0.5958685111345003, -0.1500604882299153, -0.6375700915364043]"
FENGYUN 1C DEB,[-9.30333442e-02 -6.19335428e-05 -3.66714198e-02],"[-0.6889018553312136, -0.15012242177270982, -0.6742415113590966]"
FENGYUN 1C DEB,[-0.07202438 -0.01601631 -0.0674979 ],"[-0.7609262402622253, -0.16613872715984754, -0.741739407156339]"
FENGYUN 1C DEB,[-0.04169818 -0.07247399 -0.05485238],"[-0.8026244157685346, -0.2386127137221432, -0.7965917856937663]"
FENGYUN 1C DEB,[-0.06724324 -0.02981758 -0.06774407],"[-0.8698676525894047, -0.268430289920319, -0.8643358574013214]"
FENGYUN 1C DEB,[-0.05097808 -0.04390356 -0.07398454],"[-0.9208457336520426, -0.3123338493360194, -0.9383204012047617]"
FENGYUN 1C DEB,[ 0.00102174 -0.03817545 -0.09242073],"[-0.9198239915453127, -0.3505093038259268, -1.0307411278712206]"
FENGYUN 1C DEB,[-0.0224878   0.00056149 -0.09743707],"[-0.9423117937006444, -0.3499478088461182, -1.128178202322429]"
FENGYUN 1C DEB,[-0.06331637 -0.01990943 -0.07479741],"[-1.0056281612469913, -0.3698572419714116, -1.2029756091850028]"
FENGYUN 1C DEB,[-0.01898396 -0.05091318 -0.08394914],"[-1.024612116736651, -0.4207704218767989, -1.2869247458445794]"
FENGYUN 1C DEB,[-0.05199947 -0.02416548 -0.08192731],"[-1.0766115842007715, -0.44493590308563946, -1.3688520605899868]"
FENGYUN 1C DEB,[ 0.03253299  0.01812256 -0.09280721],"[0.14940123582075437, 0.021106172560658453, -0.13796662111992058]"
FENGYUN 1C DEB,[-0.05318547  0.0608321  -0.05891317],"[0.09621576417841723, 0.08193826885024937, -0.1968797916948955]"
FENGYUN 1C DEB,[ 0.05934026  0.05058451 -0.06260943],"[0.1555560242223279, 0.13252277885843788, -0.2594892229744762]"
FENGYUN 1C DEB,[-0.08356879 -0.05472128  0.0046732 ],"[0.07198723440330623, 0.07780149836867534, -0.2548160196036695]"
FENGYUN 1C DEB,[ 0.04559202  0.01158329 -0.08824509],"[0.11757925379416442, 0.08938478763663682, -0.34306110545890756]"
FENGYUN 1C DEB,[ 0.04421179  0.00056335 -0.08969392],"[0.161791047627326, 0.08994813773030093, -0.4327550290141071]"
FENGYUN 1C DEB,[ 0.03229281  0.02043041 -0.09241089],"[0.19408385545890705, 0.11037854569547437, -0.5251659211899169]"
FENGYUN 1C DEB,[ 0.03732727  0.06168878 -0.06929047],"[0.2314111246878085, 0.17206732477383846, -0.5944563931736889]"
FENGYUN 1C DEB,[ 0.06605019 -0.06703423 -0.03381988],"[0.29746131488992367, 0.10503309507432242, -0.6282762752381925]"
FENGYUN 1C DEB,[ 0.04957723  0.06066879 -0.06214014],"[0.34703854140011614, 0.1657018861571451, -0.6904164104175263]"
FENGYUN 1C DEB,[ 0.02231204 -0.01115138 -0.09683914],"[0.36935058525724207, 0.15455050905188403, -0.7872555527494055]"
FENGYUN 1C DEB,[ 0.04276348  0.01759066 -0.08866709],"[0.41211406177248733, 0.17214117351387404, -0.8759226469846163]"
FENGYUN 1C DEB,[ 0.05408213  0.00952654 -0.08357253],"[0.46619619392553546, 0.18166771009811825, -0.9594951788505907]"
FENGYUN 1C DEB,[ 0.04848287  0.0143018  -0.08628366],"[0.514679066373236, 0.1959695083904522, -1.0457788368909484]"
FENGYUN 1C DEB,[ 0.04436042  0.03561012 -0.08224398],"[0.5590394910952852, 0.231579631935404, -1.1280228142971553]"
FENGYUN 1C DEB,[ 0.03164583  0.04134681 -0.08537554],"[0.5906853260935506, 0.27292644338920313, -1.2133983512492972]"
FENGYUN 1C DEB,[ 0.03759391  0.05364393 -0.0755581 ],"[0.6282792407732823, 0.3265703757771825, -1.2889564487439202]"
FENGYUN 1C DEB,[ 0.01241446  0.02550887 -0.0958915 ],"[0.6406936973129655, 0.35207924339629865, -1.3848479444127997]"
FENGYUN 1C DEB,[ 0.03718019  0.00808874 -0.09247814],"[0.6778738878052731, 0.3601679853478532, -1.4773260806861745]"
FENGYUN 1C DEB,[ 0.00948669 -0.05340307 -0.08401258],"[0.008564848234468748, -0.11603464311023148, 0.20684904075137944]"
FENGYUN 1C DEB,[-0.08182746  0.05294628 -0.0223821 ],"[-0.07326261311930754, -0.0630883652782706, 0.18446694451047618]"
FENGYUN 1C DEB,[-0.02221742 -0.01913697  0.0956042 ],"[-0.09548003081594039, -0.08222533830304718, 0.2800711421920755]"
FENGYUN 1C DEB,[ 0.03916028 -0.0674453  -0.06259077],"[-0.05631975024467257, -0.1496706369893262, 0.21748037521564206]"
FENGYUN 1C DEB,[ 0.05107926 -0.0398056  -0.07619989],"[-0.005240492487503641, -0.18947624121774376, 0.14128048480241845]"
FENGYUN 1C DEB,[ 0.05221912 -0.08523051 -0.00298728],"[0.046978629911093965, -0.27470674863495403, 0.1382932015341049]"
FENGYUN 1C DEB,[ 0.04397287 -0.08966157 -0.00521444],"[0.09095150012090467, -0.36436831411208487, 0.13307876372151892]"
FENGYUN 1C DEB,[ 0.02621444 -0.0470419  -0.08426068],"[0.11716593638333346, -0.4114102137821428, 0.04881807889831527]"
FENGYUN 1C DEB,[ 0.02715991 -0.09599152  0.00692587],"[0.14432584638781873, -0.5074017321583579, 0.0557439498454964]"
FENGYUN 1C DEB,[ 0.01256392 -0.07543524  0.06443347],"[0.15688976500391655, -0.5828369726895225, 0.12017742278474919]"
FENGYUN 1C DEB,[ 0.01029508 -0.06606413  0.07436089],"[0.1671848429847455, -0.6489011039136388, 0.19453831260575255]"
FENGYUN 1C DEB,[ 0.02748114 -0.08905821 -0.03624116],"[0.19466598347601607, -0.7379593179403804, 0.15829715600629876]"
FENGYUN 1C DEB,[ 0.06396899 -0.05330002 -0.05538119],"[0.2586349737715555, -0.7912593349155227, 0.10291596361196038]"
FENGYUN 1C DEB,[ 0.01479077 -0.09546967 -0.02582198],"[0.27342574353484694, -0.8867290090145722, 0.07709398736631677]"
FENGYUN 1C DEB,[ 0.02894396 -0.0950795   0.01105148],"[0.3023697022175125, -0.9818085130820611, 0.08814546518860378]"
FENGYUN 1C DEB,[-0.00129855 -0.06073884 -0.07942989],"[0.3010711477349693, -1.0425473561759375, 0.008715579780948085]"
FENGYUN 1C DEB,[-0.04411983 -0.0721798  -0.05332464],"[0.25695131920691877, -1.11472715398031, -0.044609062923671346]"
FENGYUN 1C DEB,[ 0.05039842 -0.07881862 -0.03532173],"[0.30734973562842594, -1.1935457744725242, -0.0799307939954732]"
FENGYUN 1C DEB,[-0.03308278 -0.08358634 -0.04380472],"[0.27426695615626373, -1.2771321167009495, -0.12373550944106015]"
FENGYUN 1C DEB,[ 0.02478175 -0.07323151 -0.06342721],"[0.2990487034563692, -1.3503636300039332, -0.18716271543429797]"
FENGYUN 1C DEB,[ 0.01031972 -0.09553164 -0.02769854],"[0.30936842263418396, -1.445895270021694, -0.21486125603859674]"
FENGYUN 1C DEB,[-0.00893738 -0.09919902 -0.00892626],"[0.30043104141716503, -1.5450942880203897, -0.223787511976902]"
FENGYUN 1C DEB,[ 0.01553883 -0.08700742 -0.04677877],"[0.31596987560946, -1.6321017092705383, -0.270566281513344]"
FENGYUN 1C DEB,[ 0.01429976 -0.09880324  0.00578251],"[0.3302696332282506, -1.7309049458461276, -0.26478377563509475]"
FENGYUN 1C DEB,[ 0.01893129 -0.09219619 -0.03378563],"[0.3492009228330675, -1.823101135440966, -0.2985694071682062]"
FENGYUN 1C DEB,[ 0.01586293 -0.09155417 -0.03696216],"[0.36506385638129685, -1.9146553045818517, -0.33553156960719976]"
FENGYUN 1C DEB,[ 0.01735269 -0.09724362 -0.01557445],"[0.38241654175716144, -2.0118989197894055, -0.3511060234214255]"
FENGYUN 1C DEB,[ 0.08211757 -0.01376584  0.05538237],"[0.013403815796361143, 0.30522109951891546, 0.9465981360253845]"
FENGYUN 1C DEB,[0.08028491 0.03847537 0.04554096],"[0.09368872741886555, 0.3436964714864784, 0.9921390925120935]"
FENGYUN 1C DEB,[0.02474093 0.03426729 0.09062913],"[0.11842965887772812, 0.3779637634819144, 1.082768221437883]"
FENGYUN 1C DEB,[0.02485071 0.02917827 0.0923638 ],"[0.14328036579576053, 0.40714203546876626, 1.1751320174270874]"
FENGYUN 1C DEB,[0.05907413 0.06446598 0.048522  ],"[0.20235449444919135, 0.4716080151460494, 1.2236540205605735]"
FENGYUN 1C DEB,[0.02179784 0.05494114 0.0806618 ],"[0.22415233851391475, 0.5265491526433403, 1.3043158169987497]"
FENGYUN 1C DEB,[0.04760045 0.00779415 0.08759822],"[0.27175279263956553, 0.5343432997740927, 1.3919140363729812]"
FENGYUN 1C DEB,[-0.02329243  0.07675002  0.0597235 ],"[0.24846036592730741, 0.6110933217612586, 1.4516375408148976]"
FENGYUN 1C DEB,[0.01391065 0.03681372 0.09193065],"[0.2623710126940387, 0.6479070425080232, 1.5435681878881695]"
FENGYUN 1C DEB,[0.01771752 0.06664845 0.07241597],"[0.28008853111123283, 0.7145554958989538, 1.615984161276182]"
FENGYUN 1C DEB,[0.01072048 0.06029053 0.07905773],"[0.2908090085886291, 0.7748460211139219, 1.6950418865910426]"
FENGYUN 1C DEB,[0.021333   0.01492008 0.09655203],"[0.31214200898719563, 0.7897660981168473, 1.7915939160685297]"
FENGYUN 1C DEB,[ 0.06777984 -0.05414166  0.0497451 ],"[0.6767284681987228, -0.5586532962691396, 0.42081586943761806]"
FENGYUN 1C DEB,[ 0.07037814 -0.05735349  0.04192248],"[0.7471066045212704, -0.6160067901562872, 0.4627383534611326]"
FENGYUN 1C DEB,[ 0.08105357 -0.05846915  0.00341727],"[0.8281601699217653, -0.6744759427389294, 0.46615562315131115]"
FENGYUN 1C DEB,[ 0.07145542 -0.04087118 -0.05677737],"[0.8996155903906946, -0.7153471269682734, 0.4093782580724389]"
FENGYUN 1C DEB,[ 0.05074798 -0.06740345 -0.05367884],"[0.9503635725450351, -0.7827505761079755, 0.3556994228453745]"
FENGYUN 1C DEB,[ 0.04509877 -0.08357132 -0.03133584],"[0.9954623442440471, -0.866321898762655, 0.32436358360357576]"
FENGYUN 1C DEB,[0.09553795 0.00307976 0.02937711],"[1.091000298570583, -0.863242142032514, 0.3537406900230978]"
FENGYUN 1C DEB,[ 0.07701492 -0.06333837  0.00754671],"[1.1680152197730171, -0.9265805115351798, 0.3612874019512579]"
FENGYUN 1C DEB,[ 0.05536915 -0.08307534  0.00572241],"[1.223384366064477, -1.009655848531765, 0.36700981594001414]"
FENGYUN 1C DEB,[ 0.0280268  -0.08613418  0.04237217],"[1.2514111696091714, -1.0957900292691418, 0.40938199067495074]"
FENGYUN 1C DEB,[ 0.07860459 -0.05991958 -0.01519743],"[1.3300157620960318, -1.1557096104049143, 0.39418456206060287]"
FENGYUN 1C DEB,[ 0.08579166 -0.0513712   0.00088994],"[1.415807418344639, -1.2070808058409679, 0.3950745045259256]"
FENGYUN 1C DEB,[ 0.0601726  -0.07123163  0.03612911],"[1.4759800210318117, -1.278312438250445, 0.43120361232189536]"
FENGYUN 1C DEB,[ 0.07763555 -0.05982688  0.01983596],"[1.55361557275352, -1.338139320717917, 0.4510395706574343]"
FENGYUN 1C DEB,[-0.07944124 -0.05585809  0.02385296],"[-0.09034862914295273, -0.06523678045743131, -0.060002048995617244]"
FENGYUN 1C DEB,[ 0.02918732 -0.0474361  -0.0830537 ],"[-0.06116130923282952, -0.11267287998480421, -0.1430557473966716]"
FENGYUN 1C DEB,[ 0.03481149 -0.02362402 -0.09071971],"[-0.026349817160754116, -0.13629689829889616, -0.23377545737422434]"
FENGYUN 1C DEB,[ 0.0256557  -0.03751454 -0.0890755 ],"[-0.0006941180741260947, -0.17381143513201536, -0.32285095698311195]"
FENGYUN 1C DEB,[ 0.02297964 -0.04620043 -0.08565895],"[0.02228552237827622, -0.2200118634263331, -0.40850991185707664]"
FENGYUN 1C DEB,[ 0.00390901 -0.04396627 -0.08973119],"[0.02619452844544142, -0.26397813518172614, -0.49824110275242695]"
FENGYUN 1C DEB,[-0.01800593 -0.06596405 -0.07296938],"[0.008188598145100985, -0.3299421812586454, -0.5712104874228582]"
FENGYUN 1C DEB,[ 0.00723487 -0.09858708 -0.01510776],"[0.015423472837825199, -0.4285292610951856, -0.5863182429637793]"
FENGYUN 1C DEB,[-0.0204197  -0.07701533 -0.06042909],"[-0.004996231136547378, -0.5055445928989175, -0.6467473283181024]"
FENGYUN 1C DEB,[-0.02901453 -0.08377868 -0.04625245],"[-0.0340107633257028, -0.5893232765979748, -0.6929997777613242]"
FENGYUN 1C DEB,[-0.00407699 -0.06640534 -0.07465727],"[-0.038087751318592, -0.6557286204044454, -0.7676570512371904]"
FENGYUN 1C DEB,[-0.01774867  0.02747946 -0.09449796],"[-0.055836424471478685, -0.6282491642790196, -0.8621550093757808]"
FENGYUN 1C DEB,[-0.00605831 -0.07601708 -0.06468926],"[-0.061894735064189396, -0.7042662474643071, -0.9268442661095178]"
FENGYUN 1C DEB,[-0.02871617 -0.00652229 -0.0955659 ],"[-0.09061090394237013, -0.710788537609914, -1.0224101668074985]"
FENGYUN 1C DEB,[-0.0471809  -0.00485086 -0.08803654],"[-0.13779180560528648, -0.7156393934729515, -1.110446703061887]"
FENGYUN 1C DEB,[ 0.03023017 -0.06213367 -0.07228792],"[-0.10756163148658464, -0.7777730652743872, -1.1827346232230345]"
FENGYUN 1C DEB,[-0.01431363 -0.03755695 -0.09156744],"[-0.12187526534364893, -0.8153300104187113, -1.2743020615252614]"
FENGYUN 1C DEB,[ 0.0163887  -0.02705455 -0.09486549],"[-0.10548656286366612, -0.8423845603266852, -1.3691675545155977]"
FENGYUN 1C DEB,[ 0.01143192 -0.04027181 -0.09081571],"[-0.09405464459023952, -0.8826563721815253, -1.4599832602856795]"
FENGYUN 1C DEB,[ 0.08051987  0.03855925 -0.04505259],"[0.7503292786101257, 0.5078178347070239, -0.3332990864323606]"
FENGYUN 1C DEB,[ 0.07658814  0.0531237  -0.03622332],"[0.8269174222160112, 0.5609415330900761, -0.36952240667099634]"
FENGYUN 1C DEB,[ 0.07558888  0.06512775 -0.00668562],"[0.9025062981464023, 0.6260692869231509, -0.3762080267797331]"
FENGYUN 1C DEB,[0.09817402 0.01740833 0.00766883],"[1.0006803227796301, 0.6434776175546454, -0.36853919949396424]"
FENGYUN 1C DEB,[ 0.08623995  0.04871873 -0.0137534 ],"[1.0869202774684443, 0.6921963440139883, -0.38229259570911744]"
FENGYUN 1C DEB,[ 0.05946419  0.07332913 -0.0329674 ],"[1.1463844650112864, 0.7655254735672034, -0.4152599910996773]"
FENGYUN 1C DEB,[ 0.04711245  0.0683488  -0.05575714],"[1.1934969113413196, 0.8338742719908564, -0.4710171355283745]"
FENGYUN 1C DEB,[ 0.03399734  0.07094823 -0.06172949],"[1.2274942541775147, 0.9048225003478023, -0.5327466225915996]"
FENGYUN 1C DEB,[ 0.06684815  0.02128152 -0.07126305],"[1.2943424016521234, 0.926104023360834, -0.6040096702212006]"
FENGYUN 1C DEB,[ 0.09039176  0.01191705 -0.04107692],"[1.3847341640992719, 0.9380210711901649, -0.6450865889558346]"
FENGYUN 1C DEB,[ 0.06817416  0.0691735  -0.02381827],"[1.45290832777058, 1.0071945727666451, -0.6689048610880935]"
FENGYUN 1C DEB,[ 0.0779144   0.02799983 -0.05608347],"[1.5308227301785935, 1.0351944018565786, -0.7249883298497231]"
FENGYUN 1C DEB,[ 0.01342696  0.09879582 -0.00768783],"[-0.3430111926707635, 0.4660156373164339, 0.689478610019323]"
FENGYUN 1C DEB,[-0.02837138  0.06062394  0.07429537],"[-0.3713825744274692, 0.5266395791606654, 0.7637739825029609]"
FENGYUN 1C DEB,[-0.03071012  0.05603991  0.07691825],"[-0.40209269275806786, 0.582679493620358, 0.840692228839386]"
FENGYUN 1C DEB,[ 0.02633979 -0.0235916   0.09353957],"[-0.37575290125326394, 0.5590878961970615, 0.9342318028949725]"
FENGYUN 1C DEB,[-0.04158591  0.09093709  0.00102885],"[-0.41733881215776675, 0.6500249815159744, 0.9352606507668647]"
FENGYUN 1C DEB,[0.0200061  0.04488123 0.08709438],"[-0.3973327107535324, 0.6949062072059156, 1.0223550334053109]"
FENGYUN 1C DEB,[-0.02879008 -0.02605738  0.09215283],"[-0.42612278702184836, 0.6688488230360615, 1.1145078642825508]"
FENGYUN 1C DEB,[0.00162504 0.09075847 0.04195545],"[-0.42449774843780047, 0.7596072921676102, 1.156463311253094]"
FENGYUN 1C DEB,[-0.03190464  0.04146759  0.0852205 ],"[-0.45640239208449396, 0.8010748792198334, 1.241683807249326]"
FENGYUN 1C DEB,[0.0177754  0.03062173 0.0935219 ],"[-0.4386269941076579, 0.831696609634932, 1.335205702296155]"
FENGYUN 1C DEB,[0.01968854 0.019098   0.09616459],"[-0.4189384510531959, 0.8507946135816569, 1.431370287865082]"
FENGYUN 1C DEB,[-0.0301769   0.06675216  0.06806985],"[-0.4491153515552031, 0.9175467702493743, 1.4994401362291006]"
FENGYUN 1C DEB,[-0.0569248   0.03014402  0.07649121],"[-0.506040151756006, 0.9476907921558005, 1.575931345301801]"
FENGYUN 1C DEB,[-0.02371705  0.03247656  0.09155749],"[-0.5297572024954633, 0.9801673503400609, 1.6674888391115725]"
FENGYUN 1C DEB,[-0.02926372  0.04566403  0.08401447],"[-0.5590209177624786, 1.0258313848014002, 1.7515033076600592]"
FENGYUN 1C DEB,[-0.04050744  0.01375632  0.09038756],"[-0.43172500671321856, 0.12506853178755822, 0.8074675402217127]"
FENGYUN 1C DEB,[-0.04213491  0.00542437  0.09052749],"[-0.47385991300591657, 0.13049290076659129, 0.8979950271684123]"
FENGYUN 1C DEB,[ 0.00847774 -0.07190387  0.06897797],"[-0.46538216898660306, 0.05858902777885107, 0.96697300123047]"
FENGYUN 1C DEB,[-0.09901327 -0.0068275   0.01223758],"[-0.5643954358172732, 0.051761532314103284, 0.9792105784905883]"
FENGYUN 1C DEB,[ 0.00052808 -0.03470114  0.0937846 ],"[-0.5638673592690404, 0.017060390868540262, 1.0729951823311668]"
FENGYUN 1C DEB,[-0.06484714  0.01004894  0.07545772],"[-0.6287144951747685, 0.027109327357851272, 1.1484529045354437]"
FENGYUN 1C DEB,[-0.03514134  0.04413695  0.08256522],"[-0.6638558337610851, 0.07124627771185194, 1.231018126849747]"
FENGYUN 1C DEB,[-0.05101238 -0.041904    0.07511186],"[-0.7148682178988656, 0.02934227599291496, 1.3061299854642086]"
FENGYUN 1C DEB,[-0.05770813  0.01717512  0.07984226],"[-0.7725763482786926, 0.046517394889669474, 1.3859722485768435]"
FENGYUN 1C DEB,[-0.08888468 -0.00379998  0.04566262],"[-0.8614610236069115, 0.04271741053143214, 1.4316348657891134]"
FENGYUN 1C DEB,[-0.07373997 -0.01831198  0.06501606],"[-0.9352009952433348, 0.024405425913069087, 1.4966509238240044]"
FENGYUN 1C DEB,[-0.02903419 -0.03078805  0.09060415],"[-0.9642351836008709, -0.006382623551994482, 1.587255073378845]"
FENGYUN 1C DEB,[-0.03761486  0.02753147  0.08847113],"[-1.001850042867224, 0.021148844565566434, 1.6757262021478632]"
FENGYUN 1C DEB,[-0.01037997 -0.09803892 -0.01675193],"[-0.1469174823187503, -0.07321604288637953, 0.13203962652759452]"
FENGYUN 1C DEB,[ 0.0438594  -0.08673101 -0.02353902],"[-0.1030580864143466, -0.1599470523881848, 0.1085006082452076]"
FENGYUN 1C DEB,[ 0.00625362 -0.02800661 -0.09579417],"[-0.09680446975231388, -0.18795365991375051, 0.012706442381344732]"
FENGYUN 1C DEB,[-0.04914315 -0.08702116 -0.00350269],"[-0.14594761947246135, -0.27497481841799204, 0.009203756531479883]"
FENGYUN 1C DEB,[-0.05176561 -0.04405901  0.07334252],"[-0.19771322674477376, -0.3190338236877175, 0.08254628142918861]"
FENGYUN 1C DEB,[-0.01553909 -0.0814309   0.05592446],"[-0.21325231655946236, -0.4004647205948999, 0.1384707458130598]"
FENGYUN 1C DEB,[ 0.04397349 -0.08813803 -0.01726325],"[-0.16927882634479546, -0.4886027507561025, 0.1212074958976023]"
